temp,feelsLike,pressure,humidity,clouds,windSpeed,windDir,gustSpeed,result
26.0,26.8,1007.0,83.0,99.0,5.1,240.0,5.1,1
24.6,25.7,1008.0,98.0,50.0,2.8,215.0,2.8,1
30.0,37.4,1007.0,79.0,34.0,4.1,220.0,6.0,1
29.0,33.5,1006.0,74.0,54.0,1.0,0.0,6.4,1
29.0,33.5,1007.0,74.0,15.0,1.5,270.0,6.8,1
29.0,33.5,1007.0,74.0,25.0,3.1,270.0,6.4,1
28.0,31.8,1007.0,78.0,25.0,4.6,270.0,5.6,1
33.0,43.5,1004.0,70.0,24.0,5.1,130.0,6.8,1
32.8,41.6,1004.0,67.0,25.0,1.5,140.0,7.2,1
27.0,31.2,1004.0,94.0,75.0,2.6,250.0,6.8,1
28.0,33.4,1006.0,88.0,0.0,1.5,200.0,8.0,1
